"FILE#"	"CREATION_CHANGE#"	"CREATION_TIME"	"TS#"	"RFILE#"	"STATUS"	"ENABLED"	"CHECKPOINT_CHANGE#"	"CHECKPOINT_TIME"	"UNRECOVERABLE_CHANGE#"	"UNRECOVERABLE_TIME"	"LAST_CHANGE#"	"LAST_TIME"	"OFFLINE_CHANGE#"	"ONLINE_CHANGE#"	"ONLINE_TIME"	"BYTES"	"BLOCKS"	"CREATE_BYTES"	"BLOCK_SIZE"	"NAME"	"PLUGGED_IN"	"BLOCK1_OFFSET"	"AUX_NAME"	"FIRST_NONLOGGED_SCN"	"FIRST_NONLOGGED_TIME"	"FOREIGN_DBID"	"FOREIGN_CREATION_CHANGE#"	"FOREIGN_CREATION_TIME"	"PLUGGED_READONLY"	"PLUGIN_CHANGE#"	"PLUGIN_RESETLOGS_CHANGE#"	"PLUGIN_RESETLOGS_TIME"	"CON_ID"
1	20	21/09/28	0	1	"SYSTEM"	"READ WRITE"	5420670	24/03/28	0				2754503	2754504	24/03/12	1405091840	171520	0	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\SYSTEM01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		1
3	6713	21/09/28	1	3	"ONLINE"	"READ WRITE"	5420670	24/03/28	0				2754503	2754504	24/03/12	723517440	88320	0	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\SYSAUX01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		1
4	2753961	21/09/28	2	4	"ONLINE"	"READ WRITE"	5420670	24/03/28	0				2754503	2754504	24/03/12	120586240	14720	0	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\UNDOTBS01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		1
5	2754892	24/03/12	0	1	"SYSTEM"	"READ WRITE"	2803627	24/03/12	0		2803627	24/03/12	2782648	2782660	24/03/12	283115520	34560	283115520	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\PDBSEED\SYSTEM01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		2
6	2754902	24/03/12	1	4	"ONLINE"	"READ WRITE"	2803627	24/03/12	0		2803627	24/03/12	2782648	2782660	24/03/12	335544320	40960	293601280	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\PDBSEED\SYSAUX01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		2
7	39035	21/09/28	4	7	"ONLINE"	"READ WRITE"	5420670	24/03/28	0				2754503	2754504	24/03/12	5242880	640	0	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\USERS01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		1
8	2754905	24/03/12	2	9	"ONLINE"	"READ WRITE"	2803627	24/03/12	0		2803627	24/03/12	2782648	2782660	24/03/12	104857600	12800	104857600	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\PDBSEED\UNDOTBS01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		2
9	2805360	24/03/12	0	1	"SYSTEM"	"READ WRITE"	5420670	24/03/28	0				2806617	2806662	24/03/12	293601280	35840	283115520	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\XEPDB1\SYSTEM01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		3
10	2805380	24/03/12	1	4	"ONLINE"	"READ WRITE"	5420670	24/03/28	0				2806617	2806662	24/03/12	440401920	53760	335544320	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\XEPDB1\SYSAUX01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		3
11	2805384	24/03/12	2	9	"ONLINE"	"READ WRITE"	5420670	24/03/28	0				2806617	2806662	24/03/12	104857600	12800	104857600	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\XEPDB1\UNDOTBS01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		3
12	2808318	24/03/12	5	12	"ONLINE"	"READ WRITE"	5420670	24/03/28	0				0	0		5242880	640	5242880	8192	"C:\APP\USER1\PRODUCT\21C\ORADATA\XE\XEPDB1\USERS01.DBF"	0	8192	"NONE"	0		0	0		"NO"	0	0		3
